01.14,#genre#
摸鱼4K,https://alimov2.a.kwimgs.com/upic/2023/04/22/17/BMjAyMzA0MjIxNzI1MzZfMjgzNjA2ODc5N18xMDEyMzc2NjE3NDlfMF8z_b_B97021f3592e1779257f420d55885ac3a.mp4?clientCacheKey=3x73a4vbk8wzt2q_b.mp4&tt=b&di=b7d53c28&bp=10000

▶️┃央视频道,#genre#
CCTV1,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv1
CCTV2,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv2
CCTV3,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv3
CCTV4,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv4
CCTV5,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv5
CCTV6,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv6
CCTV7,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv7
CCTV8,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv8
CCTV9,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv9
CCTV10,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv10
CCTV11,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv11
CCTV12,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv12
CCTV13,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv13
CCTV14,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv14
CCTV15,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv15
CCTV16,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv16
CCTV17,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv17
CCTV5+,http://hrare.110.120.119.yoonee.net/ysp.php?id=cctv5p

CCTV1 综合,http://103.195.150.229:2024/135/ye23.php?id=cctv1
CCTV1 综合,http://2024.ye23.vip/dl/migu2205.php?id=cctv1


CCTV2 财经,http://103.195.150.229:2024/135/ye23.php?id=cctv2
CCTV2 财经,http://2024.ye23.vip/dl/migu2205.php?id=cctv2


CCTV3 综艺,http://103.195.150.229:2024/135/ye23.php?id=cctv3
CCTV3 综艺,http://2024.ye23.vip/dl/migu2205.php?id=cctv3



CCTV4 国际,http://2024.ye23.vip/dl/migu2205.php?id=cctv4
CCTV4 欧洲,http://103.195.150.229:2024/135/ye23.php?id=cctv4o

CCTV4 欧洲,http://2024.ye23.vip/dl/migu2205.php?id=cctv4o

CCTV4 美洲,http://103.195.150.229:2024/135/ye23.php?id=cctv4a

CCTV4 美洲,http://2024.ye23.vip/dl/migu2205.php?id=cctv4a


CCTV5 体育,http://103.195.150.229:2024/135/ye23.php?id=cctv5

CCTV5 体育,http://2024.ye23.vip/dl/migu2205.php?id=cctv5

CCTV5+赛事,http://103.195.150.229:2024/135/ye23.php?id=cctv5p

CCTV5+赛事,http://2024.ye23.vip/dl/migu2205.php?id=cctv5p
CCTV6 电影,http://103.195.150.229:2024/135/ye23.php?id=cctv6

CCTV6 电影,http://2024.ye23.vip/dl/migu2205.php?id=cctv6

CCTV7 军事,http://103.195.150.229:2024/135/ye23.php?id=cctv7

CCTV7 军事,http://2024.ye23.vip/dl/migu2205.php?id=cctv7

CCTV8 剧场,http://103.195.150.229:2024/135/ye23.php?id=cctv8

CCTV8 剧场,http://2024.ye23.vip/dl/migu2205.php?id=cctv8
CCTV9 记录,http://103.195.150.229:2024/135/ye23.php?id=cctv9

CCTV9 记录,http://2024.ye23.vip/dl/migu2205.php?id=cctv9
CCTV10 科教,http://103.195.150.229:2024/135/ye23.php?id=cctv10

CCTV10 科教,http://2024.ye23.vip/dl/migu2205.php?id=cctv10
CCTV11 戏曲,http://103.195.150.229:2024/135/ye23.php?id=cctv11

CCTV11 戏曲,http://2024.ye23.vip/dl/migu2205.php?id=cctv11

CCTV12 法律,http://103.195.150.229:2024/135/ye23.php?id=cctv12

